Frame_410nm,MeanInt_410nm,Time_410nm,Realtime_410nm,Frame_470nm,MeanInt_470nm,Time_470nm,Realtime_470nm
1760,1022.824603,88,16:19.5,1759,919.473158,87.95,16:19.4
1762,1022.699413,88.1,16:19.6,1761,919.6818083,88.05,16:19.5
1764,1022.998479,88.2,16:19.7,1763,917.7970007,88.15,16:19.6
1766,1022.692458,88.3,16:19.8,1765,919.1740926,88.25,16:19.7
1768,1022.942839,88.4,16:19.9,1767,919.0836775,88.35,16:19.8
1770,1022.504673,88.5,16:20.0,1769,919.1254075,88.45,16:19.9
1772,1022.629863,88.6,16:20.1,1771,918.3951315,88.55,16:20.0
1774,1022.581178,88.7,16:20.2,1773,919.8556835,88.65,16:20.1
1776,1022.713323,88.8,16:20.3,1775,918.9028472,88.75,16:20.2
1778,1022.553358,88.9,16:20.4,1777,918.8124321,88.85,16:20.3
1780,1022.949794,89,16:20.5,1779,919.6053032,88.95,16:20.4
1782,1022.901108,89.1,16:20.6,1781,918.6316018,89.05,16:20.5
1784,1022.699413,89.2,16:20.7,1783,919.473158,89.15,16:20.6
1786,1022.664638,89.3,16:20.8,1785,919.6122582,89.25,16:20.7
1788,1022.622908,89.4,16:20.9,1787,920.3494892,89.35,16:20.8
1790,1022.379483,89.5,16:21.0,1789,919.0489024,89.45,16:20.9
1792,1022.316888,89.6,16:21.1,1791,920.2590741,89.55,16:21.0
1794,1022.462943,89.7,16:21.2,1793,920.196479,89.65,16:21.1
1796,1022.685503,89.8,16:21.3,1795,919.7444034,89.75,16:21.2
1798,1022.581178,89.9,16:21.4,1797,919.9669637,89.85,16:21.3
1800,1022.539448,90,16:21.5,1799,920.9963052,89.95,16:21.4
1802,1022.664638,90.1,16:21.6,1801,921.7126712,90.05,16:21.5
1804,1022.629863,90.2,16:21.7,1803,920.3008042,90.15,16:21.6
1806,1022.629863,90.3,16:21.8,1805,921.0102152,90.25,16:21.7
1808,1022.539448,90.4,16:21.9,1807,921.7683112,90.35,16:21.8
1810,1022.991524,90.5,16:22.0,1809,921.5109759,90.45,16:21.9
1812,1022.706368,90.6,16:22.1,1811,921.3440556,90.55,16:22.0
1814,1022.643773,90.7,16:22.2,1813,923.1106281,90.65,16:22.1
1816,1022.664638,90.8,16:22.3,1815,922.5890024,90.75,16:22.2
1818,1022.748098,90.9,16:22.4,1817,924.6059552,90.85,16:22.3
1820,1022.678548,91,16:22.5,1819,923.1801782,90.95,16:22.4
1822,1022.247338,91.1,16:22.6,1821,921.7891763,91.05,16:22.5
1824,1022.671593,91.2,16:22.7,1823,923.4583786,91.15,16:22.6
1826,1022.602043,91.3,16:22.8,1825,922.5194523,91.25,16:22.7
1828,1022.748098,91.4,16:22.9,1827,919.4244729,91.35,16:22.8
1830,1022.532493,91.5,16:23.0,1829,921.5040209,91.45,16:22.9
1832,1022.553358,91.6,16:23.1,1831,921.3371006,91.55,16:23.0
1834,1022.755053,91.7,16:23.2,1833,919.8069985,91.65,16:23.1
1836,1022.671593,91.8,16:23.3,1835,919.480113,91.75,16:23.2
1838,1022.386438,91.9,16:23.4,1837,918.6246468,91.85,16:23.3
1840,1022.337753,92,16:23.5,1839,919.8695936,91.95,16:23.4
1842,1022.372528,92.1,16:23.6,1841,920.7876549,92.05,16:23.5
1844,1022.511628,92.2,16:23.7,1843,920.0643338,92.15,16:23.6
1846,1022.650728,92.3,16:23.8,1845,920.9476201,92.25,16:23.7
1848,1022.497718,92.4,16:23.9,1847,918.6455118,92.35,16:23.8
1850,1022.602043,92.5,16:24.0,1849,919.6957183,92.45,16:23.9
1852,1022.393393,92.6,16:24.1,1851,921.573571,92.55,16:24.0
1854,1022.358618,92.7,16:24.2,1853,920.4051293,92.65,16:24.1
1856,1022.622908,92.8,16:24.3,1855,919.445338,92.75,16:24.2
1858,1022.358618,92.9,16:24.4,1857,920.3912193,92.85,16:24.3
1860,1022.344708,93,16:24.5,1859,918.3673115,92.95,16:24.4
1862,1022.497718,93.1,16:24.6,1861,919.6818083,93.05,16:24.5
1864,1022.462943,93.2,16:24.7,1863,920.6137796,93.15,16:24.6
1866,1022.323843,93.3,16:24.8,1865,919.7026733,93.25,16:24.7
1868,1022.414258,93.4,16:24.9,1867,921.3162356,93.35,16:24.8
1870,1022.539448,93.5,16:25.0,1869,920.8154749,93.45,16:24.9
1872,1022.462943,93.6,16:25.1,1871,921.3579657,93.55,16:25.0
1874,1022.414258,93.7,16:25.2,1873,921.566616,93.65,16:25.1
1876,1022.553358,93.8,16:25.3,1875,921.4692458,93.75,16:25.2
1878,1022.268203,93.9,16:25.4,1877,922.338622,93.85,16:25.3
1880,1022.692458,94,16:25.5,1879,921.4483808,93.95,16:25.4
1882,1022.706368,94.1,16:25.6,1881,922.4359922,94.05,16:25.5
1884,1022.414258,94.2,16:25.7,1883,921.580526,94.15,16:25.6
1886,1022.233428,94.3,16:25.8,1885,920.6833297,94.25,16:25.7
1888,1022.504673,94.4,16:25.9,1887,923.4375136,94.35,16:25.8
1890,1022.163877,94.5,16:26.0,1889,924.8146055,94.45,16:25.9
1892,1022.469898,94.6,16:26.1,1891,922.4707672,94.55,16:26.0
1894,1022.316888,94.7,16:26.2,1893,924.6059552,94.65,16:26.1
1896,1022.636818,94.8,16:26.3,1895,925.2458161,94.75,16:26.2
1898,1022.699413,94.9,16:26.4,1897,923.3679635,94.85,16:26.3
1900,1022.163877,95,16:26.5,1899,923.9939144,94.95,16:26.4
1902,1022.316888,95.1,16:26.6,1901,922.8741578,95.05,16:26.5
1904,1022.351663,95.2,16:26.7,1903,923.6531189,95.15,16:26.6
1906,1022.122147,95.3,16:26.8,1905,923.757444,95.25,16:26.7
1908,1022.275158,95.4,16:26.9,1907,924.2442947,95.35,16:26.8
1910,1021.843947,95.5,16:27.0,1909,922.2203869,95.45,16:26.9
1912,1022.247338,95.6,16:27.1,1911,922.2134319,95.55,16:27.0
1914,1022.170832,95.7,16:27.2,1913,922.1647468,95.65,16:27.1
1916,1022.143012,95.8,16:27.3,1915,922.2621169,95.75,16:27.2
1918,1022.198652,95.9,16:27.4,1917,921.6431211,95.85,16:27.3
1920,1022.421213,96,16:27.5,1919,922.1508368,95.95,16:27.4
1922,1022.045642,96.1,16:27.6,1921,921.4831558,96.05,16:27.5
1924,1022.302978,96.2,16:27.7,1923,921.3788307,96.15,16:27.6
1926,1022.400348,96.3,16:27.8,1925,919.9878287,96.25,16:27.7
1928,1022.386438,96.4,16:27.9,1927,921.8309063,96.35,16:27.8
1930,1022.296023,96.5,16:28.0,1929,922.8185177,96.45,16:27.9
1932,1022.115192,96.6,16:28.1,1931,921.3301456,96.55,16:28.0
1934,1022.302978,96.7,16:28.2,1933,921.1562704,96.65,16:28.1
1936,1022.233428,96.8,16:28.3,1935,920.9198,96.75,16:28.2
1938,1022.254293,96.9,16:28.4,1937,921.0102152,96.85,16:28.3
1940,1022.163877,97,16:28.5,1939,920.203434,96.95,16:28.4
1942,1021.962182,97.1,16:28.6,1941,919.6400782,97.05,16:28.5
1944,1022.337753,97.2,16:28.7,1943,920.0017388,97.15,16:28.6
1946,1022.247338,97.3,16:28.8,1945,920.8085199,97.25,16:28.7
1948,1022.226473,97.4,16:28.9,1947,919.0071724,97.35,16:28.8
1950,1022.045642,97.5,16:29.0,1949,919.0071724,97.45,16:28.9
1952,1022.045642,97.6,16:29.1,1951,920.0921539,97.55,16:29.0
1954,1022.219517,97.7,16:29.2,1953,918.4368616,97.65,16:29.1
1956,1022.296023,97.8,16:29.3,1955,919.8417735,97.75,16:29.2
1958,1022.184742,97.9,16:29.4,1957,920.0295588,97.85,16:29.3
1960,1022.330798,98,16:29.5,1959,921.5179309,97.95,16:29.4
1962,1022.156922,98.1,16:29.6,1961,921.5109759,98.05,16:29.5
1964,1022.198652,98.2,16:29.7,1963,920.7181048,98.15,16:29.6
1966,1022.066507,98.3,16:29.8,1965,919.0558574,98.25,16:29.7
1968,1022.330798,98.4,16:29.9,1967,919.480113,98.35,16:29.8
1970,1021.969137,98.5,16:30.0,1969,923.1454032,98.45,16:29.9
1972,1022.323843,98.6,16:30.1,1971,922.9854379,98.55,16:30.0
1974,1022.052597,98.7,16:30.2,1973,926.4838079,98.65,16:30.1
1976,1022.101282,98.8,16:30.3,1975,924.8772006,98.75,16:30.2
1978,1022.149967,98.9,16:30.4,1977,923.8409042,98.85,16:30.3
1980,1022.066507,99,16:30.5,1979,923.5905238,98.95,16:30.4
1982,1022.198652,99.1,16:30.6,1981,921.8656814,99.05,16:30.5
1984,1022.316888,99.2,16:30.7,1983,922.0186916,99.15,16:30.6
1986,1022.344708,99.3,16:30.8,1985,921.6431211,99.25,16:30.7
1988,1022.163877,99.4,16:30.9,1987,921.9352315,99.35,16:30.8
1990,1022.087372,99.5,16:31.0,1989,919.0697674,99.45,16:30.9
1992,1021.983047,99.6,16:31.1,1991,920.5581395,99.55,16:31.0
1994,1022.031732,99.7,16:31.2,1993,920.8154749,99.65,16:31.1
1996,1022.080417,99.8,16:31.3,1995,921.1771354,99.75,16:31.2
1998,1022.233428,99.9,16:31.4,1997,922.7628776,99.85,16:31.3
2000,1022.296023,100,16:31.5,1999,923.3540535,99.95,16:31.4
2002,1021.836992,100.1,16:31.6,2001,923.5835688,100.05,16:31.5
2004,1022.275158,100.2,16:31.7,2003,923.8617692,100.15,16:31.6
2006,1022.393393,100.3,16:31.8,2005,922.331667,100.25,16:31.7
2008,1022.212562,100.4,16:31.9,2007,921.7474462,100.35,16:31.8
2010,1022.073462,100.5,16:32.0,2009,922.282982,100.45,16:31.9
2012,1022.136057,100.6,16:32.1,2011,920.6207346,100.55,16:32.0
2014,1022.219517,100.7,16:32.2,2013,918.5620517,100.65,16:32.1
2016,1022.122147,100.8,16:32.3,2015,919.8069985,100.75,16:32.2
2018,1022.372528,100.9,16:32.4,2017,922.345577,100.85,16:32.3
2020,1022.205607,101,16:32.5,2019,923.9243643,100.95,16:32.4
2022,1022.525538,101.1,16:32.6,2021,923.7852641,101.05,16:32.5
2024,1022.170832,101.2,16:32.7,2023,920.5929146,101.15,16:32.6
2026,1022.365573,101.3,16:32.8,2025,921.8309063,101.25,16:32.7
2028,1022.330798,101.4,16:32.9,2027,922.0186916,101.35,16:32.8
2030,1022.010867,101.5,16:33.0,2029,922.7698326,101.45,16:32.9
2032,1022.101282,101.6,16:33.1,2031,920.9823951,101.55,16:33.0
2034,1022.170832,101.7,16:33.2,2033,922.2551619,101.65,16:33.1
2036,1022.247338,101.8,16:33.3,2035,922.296892,101.75,16:33.2
2038,1022.254293,101.9,16:33.4,2037,922.5055423,101.85,16:33.3
2040,1021.579657,102,16:33.5,2039,923.2149533,101.95,16:33.4
2042,1022.302978,102.1,16:33.6,2041,922.4359922,102.05,16:33.5
2044,1021.802217,102.2,16:33.7,2043,920.0017388,102.15,16:33.6
2046,1022.289068,102.3,16:33.8,2045,923.2705933,102.25,16:33.7
2048,1022.296023,102.4,16:33.9,2047,921.3231906,102.35,16:33.8
2050,1022.094327,102.5,16:34.0,2049,922.303847,102.45,16:33.9
2052,1021.711802,102.6,16:34.1,2051,921.2397305,102.55,16:34.0
2054,1021.941317,102.7,16:34.2,2053,921.4414258,102.65,16:34.1
2056,1021.990002,102.8,16:34.3,2055,920.885025,102.75,16:34.2
2058,1022.017822,102.9,16:34.4,2057,919.7165834,102.85,16:34.3
2060,1022.226473,103,16:34.5,2059,920.86416,102.95,16:34.4
2062,1021.885677,103.1,16:34.6,2061,921.0171702,103.05,16:34.5
2064,1022.003912,103.2,16:34.7,2063,920.8224299,103.15,16:34.6
2066,1021.621387,103.3,16:34.8,2065,921.7265812,103.25,16:34.7
2068,1022.149967,103.4,16:34.9,2067,920.203434,103.35,16:34.8
2070,1021.746577,103.5,16:35.0,2069,921.3371006,103.45,16:34.9
2072,1022.261248,103.6,16:35.1,2071,922.8185177,103.55,16:35.0
2074,1021.969137,103.7,16:35.2,2073,921.5109759,103.65,16:35.1
2076,1022.094327,103.8,16:35.3,2075,920.5233645,103.75,16:35.2
2078,1022.302978,103.9,16:35.4,2077,920.5303195,103.85,16:35.3
2080,1022.191697,104,16:35.5,2079,920.7876549,103.95,16:35.4
2082,1021.600522,104.1,16:35.6,2081,919.5218431,104.05,16:35.5
2084,1022.080417,104.2,16:35.7,2083,921.4692458,104.15,16:35.6
2086,1022.101282,104.3,16:35.8,2085,920.2660291,104.25,16:35.7
2088,1021.871767,104.4,16:35.9,2087,918.749837,104.35,16:35.8
2090,1022.205607,104.5,16:36.0,2089,917.7900456,104.45,16:35.9
2092,1022.052597,104.6,16:36.1,2091,918.3464464,104.55,16:36.0
2094,1022.296023,104.7,16:36.2,2093,918.2560313,104.65,16:36.1
2096,1022.087372,104.8,16:36.3,2095,918.5829168,104.75,16:36.2
2098,1022.198652,104.9,16:36.4,2097,919.6539883,104.85,16:36.3
2100,1022.219517,105,16:36.5,2099,918.1517062,104.95,16:36.4
2102,1021.760487,105.1,16:36.6,2101,917.9708759,105.05,16:36.5
2104,1022.115192,105.2,16:36.7,2103,917.8804608,105.15,16:36.6
2106,1021.920452,105.3,16:36.8,2105,916.5311889,105.25,16:36.7
2108,1021.878722,105.4,16:36.9,2107,917.2962399,105.35,16:36.8
2110,1022.066507,105.5,16:37.0,2109,916.4129537,105.45,16:36.9
2112,1022.233428,105.6,16:37.1,2111,915.6687677,105.55,16:37.0
2114,1022.136057,105.7,16:37.2,2113,917.0806346,105.65,16:37.1
2116,1022.184742,105.8,16:37.3,2115,916.4685938,105.75,16:37.2
2118,1021.697892,105.9,16:37.4,2117,917.2405999,105.85,16:37.3
2120,1022.045642,106,16:37.5,2119,918.040426,105.95,16:37.4
2122,1022.024777,106.1,16:37.6,2121,917.7344056,106.05,16:37.5
2124,1022.031732,106.2,16:37.7,2123,919.3479678,106.15,16:37.6
2126,1021.864812,106.3,16:37.8,2125,917.1223647,106.25,16:37.7
2128,1021.996957,106.4,16:37.9,2127,917.4770702,106.35,16:37.8
2130,1021.983047,106.5,16:38.0,2129,919.5635731,106.45,16:37.9
2132,1022.289068,106.6,16:38.1,2131,915.188872,106.55,16:38.0
2134,1021.871767,106.7,16:38.2,2133,916.0373832,106.65,16:38.1
2136,1022.205607,106.8,16:38.3,2135,916.2599435,106.75,16:38.2
2138,1021.885677,106.9,16:38.4,2137,915.7035427,106.85,16:38.3
2140,1022.254293,107,16:38.5,2139,915.8009128,106.95,16:38.4
2142,1021.774397,107.1,16:38.6,2141,915.0845468,107.05,16:38.5
2144,1021.816127,107.2,16:38.7,2143,915.9608781,107.15,16:38.6
2146,1022.010867,107.3,16:38.8,2145,915.5574875,107.25,16:38.7
2148,1022.143012,107.4,16:38.9,2147,915.7452728,107.35,16:38.8
2150,1022.080417,107.5,16:39.0,2149,915.3488372,107.45,16:38.9
2152,1022.122147,107.6,16:39.1,2151,914.6185612,107.55,16:39.0
2154,1022.156922,107.7,16:39.2,2153,914.465551,107.65,16:39.1
2156,1022.066507,107.8,16:39.3,2155,915.4740274,107.75,16:39.2
2158,1021.885677,107.9,16:39.4,2157,916.1417083,107.85,16:39.3
2160,1022.031732,108,16:39.5,2159,916.9623995,107.95,16:39.4
2162,1022.101282,108.1,16:39.6,2161,914.9593567,108.05,16:39.5
2164,1022.240383,108.2,16:39.7,2163,914.3194958,108.15,16:39.6
2166,1022.163877,108.3,16:39.8,2165,912.9354488,108.25,16:39.7
2168,1022.129102,108.4,16:39.9,2167,915.2862421,108.35,16:39.8
2170,1021.927407,108.5,16:40.0,2169,914.8133015,108.45,16:39.9
2172,1021.962182,108.6,16:40.1,2171,914.0899804,108.55,16:40.0
2174,1022.073462,108.7,16:40.2,2173,913.9369702,108.65,16:40.1
2176,1021.955227,108.8,16:40.3,2175,914.4029559,108.75,16:40.2
2178,1022.108237,108.9,16:40.4,2177,913.046729,108.85,16:40.3
2180,1021.774397,109,16:40.5,2179,913.8813301,108.95,16:40.4
2182,1021.948272,109.1,16:40.6,2181,915.4114323,109.05,16:40.5
2184,1022.289068,109.2,16:40.7,2183,913.0119539,109.15,16:40.6
2186,1021.683982,109.3,16:40.8,2185,913.0189089,109.25,16:40.7
2188,1021.690937,109.4,16:40.9,2187,915.0289068,109.35,16:40.8
2190,1021.280591,109.5,16:41.0,2189,913.9230602,109.45,16:40.9
2192,1021.642252,109.6,16:41.1,2191,913.8813301,109.55,16:41.0
2194,1021.976092,109.7,16:41.2,2193,915.3349272,109.65,16:41.1
2196,1021.530972,109.8,16:41.3,2195,914.6255162,109.75,16:41.2
2198,1021.384916,109.9,16:41.4,2197,915.9539231,109.85,16:41.3
2200,1021.329276,110,16:41.5,2199,914.8828516,109.95,16:41.4
2202,1021.482286,110.1,16:41.6,2201,915.5783525,110.05,16:41.5
2204,1021.781352,110.2,16:41.7,2203,914.9871767,110.15,16:41.6
2206,1021.760487,110.3,16:41.8,2205,914.7089763,110.25,16:41.7
2208,1022.059552,110.4,16:41.9,2207,915.5088024,110.35,16:41.8
2210,1021.830037,110.5,16:42.0,2209,912.6711584,110.45,16:41.9
2212,1022.108237,110.6,16:42.1,2211,914.6185612,110.55,16:42.0
2214,1021.983047,110.7,16:42.2,2213,913.3040643,110.65,16:42.1
2216,1021.857857,110.8,16:42.3,2215,914.514236,110.75,16:42.2
2218,1021.350141,110.9,16:42.4,2217,914.6881113,110.85,16:42.3
2220,1021.746577,111,16:42.5,2219,913.7144099,110.95,16:42.4
2222,1022.003912,111.1,16:42.6,2221,912.5668333,111.05,16:42.5
2224,1021.656162,111.2,16:42.7,2223,916.3781787,111.15,16:42.6
2226,1021.725712,111.3,16:42.8,2225,914.9315366,111.25,16:42.7
2228,1021.739622,111.4,16:42.9,2227,916.1069333,111.35,16:42.8
2230,1021.357096,111.5,16:43.0,2229,914.9871767,111.45,16:42.9
2232,1021.544882,111.6,16:43.1,2231,913.9787003,111.55,16:43.0
2234,1021.537927,111.7,16:43.2,2233,912.2955879,111.65,16:43.1
2236,1021.419691,111.8,16:43.3,2235,911.1480113,111.75,16:43.2
2238,1021.767442,111.9,16:43.4,2237,914.0482504,111.85,16:43.3
2240,1021.656162,112,16:43.5,2239,911.7461421,111.95,16:43.4
2242,1021.371006,112.1,16:43.6,2241,913.3805694,112.05,16:43.5
2244,1021.586612,112.2,16:43.7,2243,912.372093,112.15,16:43.6
2246,1021.656162,112.3,16:43.8,2245,912.386003,112.25,16:43.7
2248,1021.621387,112.4,16:43.9,2247,910.4525103,112.35,16:43.8
2250,1021.371006,112.5,16:44.0,2249,912.5459683,112.45,16:43.9
2252,1021.475331,112.6,16:44.1,2251,911.2245164,112.55,16:44.0
2254,1021.510106,112.7,16:44.2,2253,910.5637905,112.65,16:44.1
2256,1021.343186,112.8,16:44.3,2255,909.8404695,112.75,16:44.2
2258,1021.440556,112.9,16:44.4,2257,909.2632037,112.85,16:44.3
2260,1021.405781,113,16:44.5,2259,908.0530319,112.95,16:44.4
2262,1021.607477,113.1,16:44.6,2261,909.2284286,113.05,16:44.5
2264,1021.482286,113.2,16:44.7,2263,909.5970441,113.15,16:44.6
2266,1021.683982,113.3,16:44.8,2265,909.1588785,113.25,16:44.7
2268,1021.433601,113.4,16:44.9,2267,910.1743099,113.35,16:44.8
2270,1021.211041,113.5,16:45.0,2269,908.9432732,113.45,16:44.9
2272,1021.099761,113.6,16:45.1,2271,908.797218,113.55,16:45.0
2274,1020.932841,113.7,16:45.2,2273,909.520539,113.65,16:45.1
2276,1021.183221,113.8,16:45.3,2275,908.3938274,113.75,16:45.2
2278,1021.058031,113.9,16:45.4,2277,910.0491198,113.85,16:45.3
2280,1021.078896,114,16:45.5,2279,910.3551402,113.95,16:45.4
2282,1021.294501,114.1,16:45.6,2281,908.122582,114.05,16:45.5
2284,1021.078896,114.2,16:45.7,2283,908.811128,114.15,16:45.6
2286,1021.204086,114.3,16:45.8,2285,909.2423386,114.25,16:45.7
2288,1021.371006,114.4,16:45.9,2287,907.1141056,114.35,16:45.8
2290,1021.016301,114.5,16:46.0,2289,908.4772875,114.45,16:45.9
2292,1021.238861,114.6,16:46.1,2291,907.4409911,114.55,16:46.0
2294,1021.162356,114.7,16:46.2,2293,907.0306455,114.65,16:46.1
2296,1020.939796,114.8,16:46.3,2295,907.1558357,114.75,16:46.2
2298,1021.259726,114.9,16:46.4,2297,906.9680504,114.85,16:46.3
2300,1021.120626,115,16:46.5,2299,907.4618561,114.95,16:46.4
2302,1021.336231,115.1,16:46.6,2301,908.9641382,115.05,16:46.5
2304,1021.217996,115.2,16:46.7,2303,908.811128,115.15,16:46.6
2306,1021.384916,115.3,16:46.8,2305,908.1990872,115.25,16:46.7
2308,1021.051076,115.4,16:46.9,2307,909.1588785,115.35,16:46.8
2310,1021.259726,115.5,16:47.0,2309,908.3312323,115.45,16:46.9
2312,1021.231906,115.6,16:47.1,2311,908.4216475,115.55,16:47.0
2314,1020.939796,115.7,16:47.2,2313,907.2810259,115.65,16:47.1
2316,1021.197131,115.8,16:47.3,2315,908.804173,115.75,16:47.2
2318,1020.925886,115.9,16:47.4,2317,907.8930667,115.85,16:47.3
2320,1021.051076,116,16:47.5,2319,907.0515105,115.95,16:47.4
2322,1021.343186,116.1,16:47.6,2321,909.2492936,116.05,16:47.5
2324,1021.211041,116.2,16:47.7,2323,909.6179092,116.15,16:47.6
2326,1020.758965,116.3,16:47.8,2325,907.4340361,116.25,16:47.7
2328,1021.106716,116.4,16:47.9,2327,907.5314062,116.35,16:47.8
2330,1021.092806,116.5,16:48.0,2329,907.2045208,116.45,16:47.9
2332,1020.995436,116.6,16:48.1,2331,908.6442078,116.55,16:48.0
2334,1021.231906,116.7,16:48.2,2333,907.9973919,116.65,16:48.1
2336,1021.419691,116.8,16:48.3,2335,906.6272549,116.75,16:48.2
2338,1021.405781,116.9,16:48.4,2337,908.2199522,116.85,16:48.3
2340,1021.155401,117,16:48.5,2339,906.8150402,116.95,16:48.4
2342,1021.064986,117.1,16:48.6,2341,908.3660074,117.05,16:48.5
2344,1021.273636,117.2,16:48.7,2343,908.7624429,117.15,16:48.6
2346,1021.377961,117.3,16:48.8,2345,908.4216475,117.25,16:48.7
2348,1020.911976,117.4,16:48.9,2347,907.2532058,117.35,16:48.8
2350,1020.856336,117.5,16:49.0,2349,908.3660074,117.45,16:48.9
2352,1021.315366,117.6,16:49.1,2351,907.0236905,117.55,16:49.0
2354,1021.398826,117.7,16:49.2,2353,908.059987,117.65,16:49.1
2356,1020.939796,117.8,16:49.3,2355,907.7678765,117.75,16:49.2
2358,1020.911976,117.9,16:49.4,2357,906.9750054,117.85,16:49.3
2360,1021.475331,118,16:49.5,2359,909.0267333,117.95,16:49.4
2362,1021.426646,118.1,16:49.6,2361,909.8056944,118.05,16:49.5
2364,1020.988481,118.2,16:49.7,2363,908.3660074,118.15,16:49.6
2366,1021.496196,118.3,16:49.8,2365,909.3327537,118.25,16:49.7
2368,1020.905021,118.4,16:49.9,2367,908.4842426,118.35,16:49.8
2370,1021.099761,118.5,16:50.0,2369,907.7331015,118.45,16:49.9
2372,1021.224951,118.6,16:50.1,2371,907.9556618,118.55,16:50.0
2374,1020.925886,118.7,16:50.2,2373,908.4146925,118.65,16:50.1
2376,1021.009346,118.8,16:50.3,2375,908.9154532,118.75,16:50.2
2378,1021.217996,118.9,16:50.4,2377,908.5746577,118.85,16:50.3
2380,1021.377961,119,16:50.5,2379,909.3466638,118.95,16:50.4
2382,1021.329276,119.1,16:50.6,2381,909.0545534,119.05,16:50.5
2384,1021.266681,119.2,16:50.7,2383,908.0321669,119.15,16:50.6
2386,1021.009346,119.3,16:50.8,2385,907.7331015,119.25,16:50.7
2388,1021.308411,119.4,16:50.9,2387,908.6163877,119.35,16:50.8
2390,1021.204086,119.5,16:51.0,2389,907.6079113,119.45,16:50.9
2392,1020.918931,119.6,16:51.1,2391,909.5831341,119.55,16:51.0
2394,1020.995436,119.7,16:51.2,2393,911.2453814,119.65,16:51.1
2396,1021.211041,119.8,16:51.3,2395,917.0945447,119.75,16:51.2
2398,1021.064986,119.9,16:51.4,2397,926.7689633,119.85,16:51.3
2400,1020.675505,120,16:51.5,2399,933.7309281,119.95,16:51.4
2402,1020.731145,120.1,16:51.6,2401,935.7757009,120.05,16:51.5
2404,1021.169311,120.2,16:51.7,2403,934.6559444,120.15,16:51.6
2406,1021.412736,120.3,16:51.8,2405,934.5237992,120.25,16:51.7
2408,1021.071941,120.4,16:51.9,2407,931.9713106,120.35,16:51.8
2410,1021.085851,120.5,16:52.0,2409,930.128233,120.45,16:51.9
2412,1021.064986,120.6,16:52.1,2411,926.6646381,120.55,16:52.0
2414,1020.828516,120.7,16:52.2,2413,925.0510759,120.65,16:52.1
2416,1021.051076,120.8,16:52.3,2415,924.7659205,120.75,16:52.2
2418,1021.259726,120.9,16:52.4,2417,924.0495544,120.85,16:52.3
2420,1020.925886,121,16:52.5,2419,921.9143664,120.95,16:52.4
2422,1020.863291,121.1,16:52.6,2421,920.6068246,121.05,16:52.5
2424,1021.183221,121.2,16:52.7,2423,919.6331232,121.15,16:52.6
2426,1021.085851,121.3,16:52.8,2425,920.7459248,121.25,16:52.7
2428,1021.176266,121.4,16:52.9,2427,918.1795262,121.35,16:52.8
2430,1021.085851,121.5,16:53.0,2429,917.8804608,121.45,16:52.9
2432,1021.231906,121.6,16:53.1,2431,919.1462725,121.55,16:53.0
2434,1021.614432,121.7,16:53.2,2433,916.8719844,121.65,16:53.1
2436,1021.287546,121.8,16:53.3,2435,917.5813953,121.75,16:53.2
2438,1021.329276,121.9,16:53.4,2437,916.3364486,121.85,16:53.3
2440,1021.308411,122,16:53.5,2439,915.7870028,121.95,16:53.4
2442,1021.405781,122.1,16:53.6,2441,916.7328842,122.05,16:53.5
2444,1021.433601,122.2,16:53.7,2443,916.0234732,122.15,16:53.6
2446,1021.259726,122.3,16:53.8,2445,916.8858944,122.25,16:53.7
2448,1021.510106,122.4,16:53.9,2447,915.7730928,122.35,16:53.8
2450,1021.447511,122.5,16:54.0,2449,916.6981091,122.45,16:53.9
2452,1021.690937,122.6,16:54.1,2451,916.9763095,122.55,16:54.0
2454,1021.280591,122.7,16:54.2,2453,917.5813953,122.65,16:54.1
2456,1021.878722,122.8,16:54.3,2455,916.3364486,122.75,16:54.2
2458,1021.301456,122.9,16:54.4,2457,913.9161052,122.85,16:54.3
2460,1021.788307,123,16:54.5,2459,917.0041295,122.95,16:54.4
2462,1021.830037,123.1,16:54.6,2461,915.891328,123.05,16:54.5
2464,1021.607477,123.2,16:54.7,2463,915.1054119,123.15,16:54.6
2466,1021.774397,123.3,16:54.8,2465,914.7854814,123.25,16:54.7
2468,1021.843947,123.4,16:54.9,2467,914.1386655,123.35,16:54.8
2470,1021.197131,123.5,16:55.0,2469,912.4277331,123.45,16:54.9
2472,1021.391871,123.6,16:55.1,2471,912.8102586,123.55,16:55.0
2474,1021.301456,123.7,16:55.2,2473,912.0938926,123.65,16:55.1
2476,1021.461421,123.8,16:55.3,2475,911.9408824,123.75,16:55.2
2478,1021.231906,123.9,16:55.4,2477,911.1132363,123.85,16:55.3
2480,1021.753532,124,16:55.5,2479,910.6611606,123.95,16:55.4
2482,1021.426646,124.1,16:55.6,2481,910.3760052,124.05,16:55.5
2484,1021.287546,124.2,16:55.7,2483,910.1186699,124.15,16:55.6
2486,1021.384916,124.3,16:55.8,2485,908.6859378,124.25,16:55.7
2488,1021.315366,124.4,16:55.9,2487,910.4872854,124.35,16:55.8
2490,1021.496196,124.5,16:56.0,2489,909.9795697,124.45,16:55.9
2492,1021.530972,124.6,16:56.1,2491,908.6720278,124.55,16:56.0
2494,1021.468376,124.7,16:56.2,2493,909.9934797,124.65,16:56.1
2496,1021.398826,124.8,16:56.3,2495,910.7376657,124.75,16:56.2
